School Name,District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
SILVER CREEK ELEMENTARY SCHOOL,SILVER CREEK,CHAUTAUQUA,463,100.0%,100.0%,0,0,12.1%,100.0%,56,463,407,0,68.4%,0.7%,9.2%,0.2%,12.2%,9.4%
SILVER CREEK HIGH SCHOOL,SILVER CREEK,CHAUTAUQUA,312,100.0%,100.0%,0,0,15.4%,100.0%,48,312,264,0,73.5%,1.0%,11.3%,0.6%,9.7%,3.9%
SILVER CREEK MIDDLE SCHOOL,SILVER CREEK,CHAUTAUQUA,241,100.0%,100.0%,0,0,13.3%,100.0%,37,241,241,0,73.7%,0.0%,7.0%,0.8%,12.8%,5.8%
SKANEATELES MIDDLE SCHOOL,SKANEATELES,ONONDAGA,305,100.0%,100.0%,0,0,2.6%,100.0%,8,305,297,0,96.3%,0.0%,1.7%,1.7%,0.0%,0.3%
SKANEATELES SENIOR HIGH SCHOOL,SKANEATELES,ONONDAGA,478,100.0%,100.0%,0,0,2.3%,100.0%,11,478,467,0,94.2%,0.4%,2.2%,2.2%,0.0%,1.1%
STATE STREET INTERMEDIATE SCHOOL,SKANEATELES,ONONDAGA,272,100.0%,100.0%,0,0,0.7%,100.0%,2,272,270,0,91.2%,0.0%,4.4%,1.1%,0.0%,3.3%
WATERMAN ELEMENTARY SCHOOL,SKANEATELES,ONONDAGA,242,100.0%,100.0%,0,0,0.8%,100.0%,2,246,240,0,89.8%,0.0%,5.5%,1.3%,0.0%,3.4%
JOHN F KENNEDY MIDDLE SCHOOL,SLOAN,ERIE,287,100.0%,100.0%,0,0,1.0%,100.0%,3,287,284,0,76.3%,8.0%,7.3%,2.4%,0.3%,5.6%
JOHN F KENNEDY SENIOR HIGH SCHOOL,SLOAN,ERIE,385,100.0%,100.0%,0,0,1.8%,100.0%,7,385,378,0,79.5%,8.6%,5.5%,2.9%,0.8%,2.9%
THEODORE ROOSEVELT SCHOOL,SLOAN,ERIE,303,100.0%,100.0%,0,0,2.0%,100.0%,6,303,297,0,71.0%,6.4%,7.7%,4.7%,0.0%,10.1%
WOODROW WILSON ELEMENTARY SCHOOL,SLOAN,ERIE,268,100.0%,100.0%,0,0,3.0%,100.0%,8,268,260,0,72.5%,8.3%,8.7%,1.9%,0.4%,8.3%
ACCOMPSETT ELEMENTARY SCHOOL,SMITHTOWN,SUFFOLK,527,100.0%,100.0%,0,0,0.2%,100.0%,1,527,526,0,84.8%,1.9%,9.5%,1.5%,0.0%,2.3%
ACCOMPSETT MIDDLE SCHOOL,SMITHTOWN,SUFFOLK,545,100.0%,100.0%,0,0,0.9%,100.0%,5,545,540,0,77.1%,2.0%,13.2%,5.5%,0.0%,2.2%
DOGWOOD ELEMENTARY SCHOOL,SMITHTOWN,SUFFOLK,348,100.0%,100.0%,0,0,2.6%,100.0%,9,348,339,0,81.9%,0.9%,9.2%,4.0%,0.6%,3.4%
GREAT HOLLOW MIDDLE SCHOOL,SMITHTOWN,SUFFOLK,890,100.0%,100.0%,0,0,0.6%,100.0%,5,890,885,0,76.4%,1.8%,10.3%,9.7%,0.2%,1.6%
MILLS POND ELEMENTARY SCHOOL,SMITHTOWN,SUFFOLK,369,100.0%,100.0%,0,0,1.1%,100.0%,4,369,365,0,75.9%,1.9%,10.0%,8.1%,0.3%,3.8%
MT PLEASANT ELEMENTARY SCHOOL,SMITHTOWN,SUFFOLK,503,100.0%,100.0%,0,0,0.2%,100.0%,1,503,502,0,74.2%,2.4%,13.1%,7.0%,0.0%,3.4%
NESAQUAKE MIDDLE SCHOOL,SMITHTOWN,SUFFOLK,527,100.0%,100.0%,0,0,0.2%,100.0%,1,527,526,0,83.1%,0.8%,8.7%,4.7%,0.2%,2.5%
SMITHTOWN ELEMENTARY SCHOOL,SMITHTOWN,SUFFOLK,463,100.0%,100.0%,0,0,0.6%,100.0%,3,463,460,0,71.8%,1.1%,16.2%,8.0%,0.0%,3.0%
SMITHTOWN HIGH SCHOOL-EAST,SMITHTOWN,SUFFOLK,1507,100.0%,100.0%,0,0,0.6%,100.0%,9,1507,1498,0,84.2%,1.3%,7.5%,5.8%,0.2%,1.0%
SMITHTOWN HIGH SCHOOL-WEST,SMITHTOWN,SUFFOLK,1414,100.0%,100.0%,0,0,0.4%,100.0%,6,1414,1408,0,79.7%,1.7%,11.5%,5.3%,0.2%,1.6%
ST JAMES ELEMENTARY SCHOOL,SMITHTOWN,SUFFOLK,473,100.0%,100.0%,0,0,0.6%,100.0%,3,473,470,0,77.6%,0.8%,13.5%,4.4%,0.0%,3.6%
TACKAN ELEMENTARY SCHOOL,SMITHTOWN,SUFFOLK,544,100.0%,100.0%,0,0,0.6%,100.0%,3,544,541,0,73.3%,1.7%,14.2%,7.9%,0.0%,2.9%
SODUS ELEMENTARY SCHOOL,SODUS,WAYNE,324,94.2%,100.0%,16,0,5.8%,100.0%,16,282,246,0,59.3%,8.1%,22.2%,0.0%,0.0%,10.5%
SODUS INTERMEDIATE SCHOOL,SODUS,WAYNE,245,100.0%,100.0%,0,0,10.2%,100.0%,25,245,220,0,54.9%,7.8%,25.0%,0.8%,0.0%,11.5%
SODUS JR/SR HIGH SCHOOL,SODUS,WAYNE,416,100.0%,100.0%,0,0,6.5%,100.0%,27,416,389,0,60.0%,10.5%,22.9%,0.0%,0.5%,6.2%
SOLVAY ELEMENTARY SCHOOL,SOLVAY,ONONDAGA,508,99.4%,100.0%,3,0,1.0%,66.8%,5,508,503,252,71.9%,7.0%,11.0%,0.4%,1.7%,8.1%
SOLVAY HIGH SCHOOL,SOLVAY,ONONDAGA,485,99.2%,100.0%,4,0,1.0%,66.7%,5,485,476,242,67.9%,9.3%,11.2%,1.7%,1.9%,8.1%
SOLVAY MIDDLE SCHOOL,SOLVAY,ONONDAGA,447,99.3%,100.0%,3,0,1.1%,65.5%,5,447,439,235,70.6%,10.0%,7.4%,0.2%,0.7%,11.1%
PRIMROSE SCHOOL,SOMERS,WESTCHESTER,532,100.0%,100.0%,0,0,0.2%,100.0%,1,532,531,0,76.6%,0.6%,14.9%,3.0%,0.0%,5.0%
SOMERS INTERMEDIATE SCHOOL,SOMERS,WESTCHESTER,548,100.0%,100.0%,0,0,0.0%,100.0%,0,548,548,0,75.9%,0.5%,16.8%,3.1%,0.0%,3.7%
SOMERS MIDDLE SCHOOL,SOMERS,WESTCHESTER,665,100.0%,100.0%,0,0,0.2%,94.1%,1,626,664,39,82.8%,1.8%,10.1%,3.5%,0.2%,1.5%
SOMERS SENIOR HIGH SCHOOL,SOMERS,WESTCHESTER,1060,100.0%,100.0%,0,0,0.1%,72.5%,1,768,1059,292,86.6%,0.9%,7.2%,4.0%,0.0%,1.3%
SOUTH BRONX CHARTER SCHOOL,SOUTH BRONX CHARTER SCHOOL,BRONX,464,100.0%,100.0%,0,0,0.0%,100.0%,0,464,464,0,1.1%,13.8%,84.1%,0.8%,0.2%,0.0%
SOUTH BRONX CLASSICAL CHARTER III,SOUTH BRONX CLASSICAL CHARTE,BRONX,430,100.0%,100.0%,0,0,4.7%,26.0%,20,112,410,318,0.9%,54.0%,41.0%,1.6%,0.7%,1.8%
SOUTH BRONX CLASSICAL CHARTER SCH IV,SOUTH BRONX CLASSICAL CHARTE,BRONX,195,100.0%,100.0%,0,0,7.7%,26.7%,15,52,180,143,0.5%,47.6%,46.7%,0.5%,1.4%,3.3%
SOUTH BRONX CLASSICAL CHARTER SCHOOL,SOUTH BRONX CLASSICAL CHARTE,BRONX,511,100.0%,100.0%,0,0,11.7%,25.0%,60,128,451,385,1.8%,38.2%,55.3%,3.1%,1.0%,0.6%
SOUTH BRONX CLASSICAL CHARTER II,SOUTH BRONX CLASSICAL II,BRONX,361,100.0%,100.0%,0,0,16.9%,39.7%,61,92,300,140,1.7%,50.1%,47.1%,0.3%,0.0%,0.8%
SOUTH BRONX COMMUNITY CHARTER HIGH S,SOUTH BRONX COMMUNITY CHARTE,BRONX,312,100.0%,100.0%,0,0,16.7%,100.0%,52,312,260,0,0.6%,37.5%,60.6%,1.3%,0.0%,0.0%
SOUTH BRONX EARLY COLLEGE ACADEMY CS,SOUTH BRONX EARLY COLLEGE AC,BRONX,305,100.0%,100.0%,0,0,6.2%,94.1%,19,287,287,18,1.3%,25.6%,71.8%,1.0%,0.0%,0.3%
SOUTH BUFFALO CHARTER SCHOOL,SOUTH BUFFALO CHARTER SCHOOL,ERIE,900,100.0%,100.0%,0,0,8.9%,100.0%,80,900,820,0,51.7%,27.3%,3.0%,15.6%,2.4%,0.0%
COLONIE CENTRAL HIGH SCHOOL,SOUTH COLONIE,ALBANY,1537,98.0%,100.0%,31,0,0.0%,100.0%,0,1529,1506,0,63.3%,9.4%,9.1%,10.8%,0.1%,7.3%
FOREST PARK ELEMENTARY SCHOOL,SOUTH COLONIE,ALBANY,310,97.7%,31.3%,7,213,0.0%,31.3%,0,97,304,0,57.2%,9.2%,8.8%,17.3%,0.0%,7.5%
LISHA KILL MIDDLE SCHOOL,SOUTH COLONIE,ALBANY,618,97.9%,58.7%,13,255,0.0%,58.7%,0,362,604,0,67.3%,8.3%,8.3%,7.7%,0.0%,8.3%
ROESSLEVILLE SCHOOL,SOUTH COLONIE,ALBANY,339,98.2%,31.0%,6,234,0.3%,31.0%,1,105,332,0,56.1%,11.9%,11.0%,9.3%,0.0%,11.6%
SADDLEWOOD ELEMENTARY SCHOOL,SOUTH COLONIE,ALBANY,376,98.0%,18.4%,8,328,0.0%,18.4%,0,74,394,0,69.4%,8.0%,6.2%,10.4%,0.0%,6.0%
SAND CREEK MIDDLE SCHOOL,SOUTH COLONIE,ALBANY,832,98.1%,66.1%,16,283,0.1%,66.1%,1,551,815,0,59.5%,9.0%,11.5%,12.8%,0.0%,7.2%
SHAKER ROAD ELEMENTARY SCHOOL,SOUTH COLONIE,ALBANY,328,97.9%,22.3%,7,255,0.0%,22.3%,0,73,321,0,60.8%,4.6%,10.9%,12.2%,0.3%,11.2%
VEEDER ELEMENTARY SCHOOL,SOUTH COLONIE,ALBANY,411,97.8%,26.0%,9,304,0.0%,26.0%,0,107,402,0,66.2%,8.8%,7.5%,7.5%,0.7%,9.2%
BELLPORT MIDDLE SCHOOL,SOUTH COUNTRY,SUFFOLK,982,100.0%,100.0%,0,0,0.0%,100.0%,0,982,982,0,35.4%,16.2%,40.9%,2.3%,0.5%,4.7%
BELLPORT SENIOR HIGH SCHOOL,SOUTH COUNTRY,SUFFOLK,1390,100.0%,100.0%,0,0,2.3%,100.0%,32,1390,1358,0,41.0%,17.3%,37.9%,1.5%,0.6%,1.7%
BROOKHAVEN ELEMENTARY SCHOOL,SOUTH COUNTRY,SUFFOLK,483,100.0%,100.0%,0,0,2.9%,67.9%,14,328,470,155,32.9%,14.7%,46.4%,1.5%,0.4%,4.1%
FRANK P LONG INTERMEDIATE SCH,SOUTH COUNTRY,SUFFOLK,535,100.0%,100.0%,0,0,2.6%,95.7%,14,514,521,23,32.3%,16.6%,44.9%,1.9%,0.0%,4.3%
KREAMER STREET ELEMENTARY SCHOOL,SOUTH COUNTRY,SUFFOLK,341,100.0%,90.3%,0,33,1.2%,63.3%,4,216,337,92,40.8%,18.2%,33.4%,1.5%,0.3%,5.9%
VERNE W CRITZ ELEMENTARY SCHOOL,SOUTH COUNTRY,SUFFOLK,299,100.0%,100.0%,0,0,6.0%,70.9%,19,212,299,87,29.4%,11.6%,51.5%,0.3%,0.3%,6.8%
BALLARD ELEMENTARY SCHOOL,SOUTH GLENS FALLS,SARATOGA,316,100.0%,100.0%,0,0,0.9%,76.6%,3,242,313,74,89.5%,0.3%,6.3%,0.0%,0.0%,3.8%
HARRISON AVENUE ELEMENTARY SCHOOL,SOUTH GLENS FALLS,SARATOGA,246,100.0%,100.0%,0,0,0.0%,71.8%,0,173,246,68,87.6%,0.0%,4.1%,0.4%,0.4%,7.4%
MOREAU ELEMENTARY SCHOOL,SOUTH GLENS FALLS,SARATOGA,245,100.0%,100.0%,0,0,3.3%,75.4%,8,187,237,61,91.0%,0.4%,6.1%,0.4%,0.0%,2.0%
OLIVER W WINCH MIDDLE SCHOOL,SOUTH GLENS FALLS,SARATOGA,719,100.0%,100.0%,0,0,1.5%,100.0%,11,719,708,0,91.8%,1.0%,3.8%,0.4%,0.1%,2.9%
SOUTH GLENS FALLS SENIOR HIGH SCHOOL,SOUTH GLENS FALLS,SARATOGA,922,100.0%,100.0%,0,0,1.3%,100.0%,12,922,910,0,92.0%,1.1%,3.0%,1.4%,0.0%,2.4%
TANGLEWOOD ELEMENTARY SCHOOL,SOUTH GLENS FALLS,SARATOGA,435,100.0%,100.0%,0,0,0.9%,72.4%,4,315,431,120,93.6%,0.0%,3.7%,0.0%,0.0%,2.8%
BIRCHWOOD INTERMEDIATE SCHOOL,SOUTH HUNTINGTON,SUFFOLK,589,100.0%,100.0%,0,0,0.5%,100.0%,3,589,586,0,31.2%,5.0%,54.3%,5.7%,0.0%,3.8%
COUNTRYWOOD PRIMARY CENTER,SOUTH HUNTINGTON,SUFFOLK,578,100.0%,100.0%,0,0,1.2%,100.0%,7,578,571,0,37.6%,7.4%,46.5%,4.9%,0.9%,2.7%
HENRY L STIMSON MIDDLE SCHOOL,SOUTH HUNTINGTON,SUFFOLK,912,100.0%,100.0%,0,0,1.2%,50.0%,11,912,901,912,39.5%,5.5%,46.5%,5.0%,0.3%,3.2%
MAPLEWOOD INTERMEDIATE SCHOOL,SOUTH HUNTINGTON,SUFFOLK,599,100.0%,100.0%,0,0,0.3%,100.0%,2,599,597,0,33.6%,7.7%,49.4%,4.5%,0.7%,4.2%
OAKWOOD PRIMARY CENTER,SOUTH HUNTINGTON,SUFFOLK,626,100.0%,100.0%,0,0,2.2%,100.0%,14,626,612,0,35.7%,4.6%,51.9%,4.2%,0.0%,3.6%
SILAS WOOD 6TH GRADE CENTER,SOUTH HUNTINGTON,SUFFOLK,436,100.0%,100.0%,0,0,2.5%,100.0%,11,436,425,0,34.0%,6.4%,49.9%,6.2%,0.2%,3.2%
WALT WHITMAN HIGH SCHOOL,SOUTH HUNTINGTON,SUFFOLK,1991,100.0%,100.0%,0,0,1.9%,100.0%,38,1991,1953,0,38.5%,7.7%,45.0%,5.8%,0.1%,2.9%
CLARKE MIDDLE SCHOOL,SOUTH JEFFERSON,JEFFERSON,432,94.2%,100.0%,25,0,0.0%,62.7%,0,432,407,257,95.9%,0.0%,1.4%,0.2%,0.2%,2.3%
MANNSVILLE MANOR ELEMENTARY SCHOOL,SOUTH JEFFERSON,JEFFERSON,289,90.3%,100.0%,28,0,0.3%,63.2%,1,289,260,168,98.0%,0.0%,1.4%,0.0%,0.0%,0.7%
MAYNARD P WILSON ELEMENTARY SCHOOL,SOUTH JEFFERSON,JEFFERSON,483,95.9%,100.0%,20,0,0.0%,61.7%,0,483,463,300,96.1%,0.2%,1.0%,0.4%,0.0%,2.2%
SOUTH JEFFERSON HIGH SCHOOL,SOUTH JEFFERSON,JEFFERSON,534,94.8%,100.0%,28,0,0.4%,59.3%,2,534,506,366,93.2%,0.7%,2.2%,0.9%,0.4%,2.6%
SOUTH KORTRIGHT CENTRAL SCHOOL,SOUTH KORTRIGHT,DELAWARE,304,92.4%,59.9%,23,122,0.0%,0.0%,0,0,281,182,96.1%,1.3%,1.6%,0.3%,0.0%,0.6%
GLENFIELD ELEMENTARY SCHOOL,SOUTH LEWIS,LEWIS,199,74.9%,100.0%,50,0,0.0%,100.0%,0,199,149,0,92.5%,0.0%,5.0%,0.0%,0.0%,2.5%
PORT LEYDEN ELEMENTARY SCHOOL,SOUTH LEWIS,LEWIS,173,75.1%,100.0%,43,0,0.0%,100.0%,0,173,130,0,98.2%,0.6%,0.0%,0.0%,0.0%,1.2%
SOUTH LEWIS HIGH SCHOOL,SOUTH LEWIS,LEWIS,290,74.8%,100.0%,73,0,0.0%,100.0%,0,290,217,0,94.8%,1.0%,1.0%,1.0%,0.0%,2.1%
SOUTH LEWIS MIDDLE SCHOOL,SOUTH LEWIS,LEWIS,255,74.9%,100.0%,64,0,0.0%,100.0%,0,255,191,0,95.3%,1.2%,2.4%,0.0%,0.0%,1.2%
COTTAGE LANE ELEMENTARY SCHOOL,SOUTH ORANGETOWN,ROCKLAND,594,100.0%,100.0%,0,0,1.0%,62.6%,6,372,588,222,63.5%,1.9%,18.9%,9.6%,0.0%,6.1%
SOUTH ORANGETOWN MIDDLE SCHOOL,SOUTH ORANGETOWN,ROCKLAND,659,100.0%,100.0%,0,0,0.9%,79.4%,6,523,653,136,67.1%,1.5%,17.6%,8.5%,0.0%,5.3%
TAPPAN ZEE HIGH SCHOOL,SOUTH ORANGETOWN,ROCKLAND,960,100.0%,100.0%,0,0,0.5%,88.0%,5,845,955,115,71.6%,1.8%,16.0%,7.4%,0.1%,3.0%
WILLIAM O SCHAEFER ELEMENTARY SCHOOL,SOUTH ORANGETOWN,ROCKLAND,580,100.0%,100.0%,0,0,1.6%,66.2%,9,384,571,196,60.7%,2.6%,20.8%,9.0%,0.0%,6.9%
SOUTH SENECA ELEMENTARY SCHOOL,SOUTH SENECA,SENECA,323,100.0%,83.9%,0,52,4.6%,83.9%,15,271,308,0,97.8%,0.3%,0.9%,0.9%,0.0%,0.0%
SOUTH SENECA MIDDLE/HIGH SCHOOL,SOUTH SENECA,SENECA,335,100.0%,100.0%,0,0,2.0%,100.0%,7,335,338,0,93.8%,1.5%,2.4%,1.2%,0.3%,0.9%
SOUTHAMPTON ELEMENTARY SCHOOL,SOUTHAMPTON,SUFFOLK,444,100.0%,100.0%,0,0,1.1%,100.0%,5,444,439,0,42.7%,1.4%,44.1%,1.4%,7.3%,3.2%
SOUTHAMPTON HIGH SCHOOL,SOUTHAMPTON,SUFFOLK,609,100.0%,100.0%,0,0,3.4%,100.0%,21,609,588,0,47.7%,2.5%,41.3%,2.5%,5.7%,0.2%
SOUTHAMPTON INTERMEDIATE SCHOOL,SOUTHAMPTON,SUFFOLK,395,100.0%,100.0%,0,0,3.8%,100.0%,15,395,380,0,42.4%,2.3%,44.4%,0.8%,9.5%,0.8%
SOUTHERN CAYUGA 7-12 SECONDARY SCH,SOUTHERN CAYUGA,CAYUGA,309,100.0%,100.0%,0,0,7.4%,50.0%,23,309,286,309,80.9%,0.0%,13.5%,1.7%,0.7%,3.3%
SOUTHERN CAYUGA ELEMENTARY SCHOOL,SOUTHERN CAYUGA,CAYUGA,372,100.0%,100.0%,0,0,2.2%,59.9%,8,223,364,149,84.0%,1.1%,12.1%,0.6%,0.6%,1.7%
SOUTHOLD ELEMENTARY SCHOOL,SOUTHOLD,SUFFOLK,336,100.0%,100.0%,0,0,3.6%,100.0%,12,336,324,0,63.1%,1.2%,32.4%,2.1%,0.0%,1.2%
SOUTHOLD JUNIOR-SENIOR HIGH SCHOOL,SOUTHOLD,SUFFOLK,423,100.0%,100.0%,0,0,2.4%,90.2%,10,395,413,43,62.8%,2.4%,31.3%,2.1%,0.0%,1.4%
SOUTHSIDE ACADEMY CHARTER SCHOOL,SOUTHSIDE ACADEMY CHARTER SC,ONONDAGA,675,100.0%,100.0%,0,0,3.0%,100.0%,20,675,655,0,1.7%,69.2%,17.2%,0.1%,0.9%,10.9%
SOUTHWESTERN ELEMENTARY SCHOOL,SOUTHWESTERN,CHAUTAUQUA,578,94.9%,100.0%,28,0,0.0%,95.4%,0,578,522,28,84.9%,0.3%,6.4%,1.6%,0.2%,6.6%
SOUTHWESTERN MIDDLE SCHOOL,SOUTHWESTERN,CHAUTAUQUA,301,95.0%,100.0%,15,0,0.0%,100.0%,0,301,285,0,89.0%,0.0%,4.3%,1.7%,0.7%,4.3%
SOUTHWESTERN SENIOR HIGH SCHOOL,SOUTHWESTERN,CHAUTAUQUA,432,96.5%,100.0%,15,0,0.0%,100.0%,0,432,417,0,88.6%,0.9%,5.0%,2.3%,0.2%,3.0%
HAGAN SCHOOL,SPACKENKILL,DUTCHESS,347,100.0%,100.0%,0,0,0.3%,100.0%,1,347,346,0,58.7%,9.0%,15.1%,11.6%,0.0%,5.5%
NASSAU SCHOOL,SPACKENKILL,DUTCHESS,309,100.0%,100.0%,0,0,0.0%,100.0%,0,309,309,0,62.5%,11.0%,12.0%,10.4%,0.0%,4.0%
ORVILLE A TODD MIDDLE SCHOOL,SPACKENKILL,DUTCHESS,338,100.0%,100.0%,0,0,0.6%,100.0%,2,338,336,0,52.8%,11.9%,16.7%,13.1%,0.6%,4.8%
SPACKENKILL HIGH SCHOOL,SPACKENKILL,DUTCHESS,501,100.0%,100.0%,0,0,0.2%,100.0%,1,501,500,0,53.7%,15.7%,14.3%,12.5%,0.0%,3.8%
SPENCER-VAN ETTEN ELEMENTARY SCHOOL,SPENCER VAN ETTEN,CHEMUNG,302,93.7%,100.0%,19,0,0.0%,100.0%,0,302,283,0,93.1%,0.0%,2.3%,0.0%,0.0%,4.6%
SPENCER-VAN ETTEN HIGH SCHOOL,SPENCER VAN ETTEN,TIOGA,290,95.2%,100.0%,14,0,0.0%,100.0%,0,290,276,0,94.4%,1.1%,2.1%,1.8%,0.4%,0.4%
SPENCER-VAN ETTEN MIDDLE SCHOOL,SPENCER VAN ETTEN,TIOGA,216,95.4%,100.0%,10,0,0.0%,100.0%,0,216,206,0,93.9%,1.9%,1.4%,0.9%,0.5%,1.4%
A M COSGROVE MIDDLE SCHOOL,SPENCERPORT,MONROE,840,100.0%,100.0%,0,0,0.0%,100.0%,0,840,840,0,77.7%,6.5%,8.3%,1.8%,0.0%,5.8%
CANAL VIEW ELEMENTARY SCHOOL,SPENCERPORT,MONROE,447,100.0%,100.0%,0,0,0.7%,100.0%,3,447,444,0,79.4%,2.9%,10.7%,1.8%,0.0%,5.1%
LEO BERNABI SCHOOL,SPENCERPORT,MONROE,393,100.0%,100.0%,0,0,0.0%,100.0%,0,393,393,0,81.7%,4.1%,9.2%,0.3%,0.0%,4.8%
SPENCERPORT HIGH SCHOOL,SPENCERPORT,MONROE,1139,100.0%,100.0%,0,0,0.2%,100.0%,2,1139,1137,0,79.9%,4.9%,7.6%,2.1%,0.3%,5.2%
TERRY TAYLOR ELEMENTARY SCHOOL,SPENCERPORT,MONROE,389,100.0%,100.0%,0,0,0.5%,100.0%,2,389,387,0,82.8%,2.8%,8.7%,0.0%,0.0%,5.7%
WILLIAM C MUNN SCHOOL,SPENCERPORT,MONROE,352,100.0%,100.0%,0,0,0.6%,100.0%,2,352,350,0,71.0%,8.2%,9.4%,3.7%,0.0%,7.7%
SPRINGS SCHOOL,SPRINGS,SUFFOLK,625,100.0%,100.0%,0,0,0.0%,100.0%,0,625,625,0,34.5%,0.3%,63.2%,0.8%,0.0%,1.2%
COLDEN ELEMENTARY SCHOOL,SPRINGVILLE-GRIFF,ERIE,176,100.0%,79.5%,0,36,4.5%,65.3%,8,115,168,25,93.0%,0.6%,4.5%,0.6%,0.0%,1.3%
GRIFFITH INST HIGH SCHOOL,SPRINGVILLE-GRIFF,ERIE,1189,100.0%,100.0%,0,0,4.7%,57.3%,28,341,567,254,94.1%,0.2%,2.4%,1.0%,0.8%,1.4%
GRIFFITH INST MIDDLE SCHOOL,SPRINGVILLE-GRIFF,ERIE,449,100.0%,100.0%,0,0,3.6%,91.8%,16,412,433,37,94.8%,0.0%,2.4%,0.5%,1.1%,1.1%
SPRINGVILLE ELEMENTARY SCHOOL,SPRINGVILLE-GRIFF,ERIE,500,100.0%,85.4%,0,73,6.4%,68.8%,32,344,468,83,94.6%,0.6%,1.6%,0.4%,0.6%,2.2%
ST HOPE LEADERSHIP ACAD CHARTER SCH,ST HOPE LEADERSHIP ACAD CHAR,NEW YORK,306,100.0%,100.0%,0,0,13.7%,100.0%,42,306,264,0,2.3%,63.3%,32.5%,1.0%,0.6%,0.3%
ST REGIS FALLS CENTRAL SCHOOL,ST REGIS FALLS,FRANKLIN,254,52.0%,61.5%,122,182,3.9%,46.3%,10,219,122,72,93.3%,0.4%,1.2%,0.0%,2.0%,3.1%
STAMFORD CENTRAL SCHOOL,STAMFORD,DELAWARE,276,97.1%,100.0%,8,0,0.7%,100.0%,2,276,266,0,90.8%,3.2%,4.0%,0.8%,0.4%,0.8%
FRICANO PRIMARY SCHOOL,STARPOINT,NIAGARA,608,100.0%,100.0%,0,0,2.1%,100.0%,13,608,595,0,92.1%,0.3%,1.8%,1.2%,0.2%,4.4%
REGAN INTERMEDIATE SCHOOL,STARPOINT,NIAGARA,683,100.0%,100.0%,0,0,1.3%,100.0%,9,683,673,0,91.8%,0.4%,1.9%,0.9%,0.1%,4.8%
STARPOINT HIGH SCHOOL,STARPOINT,NIAGARA,906,100.0%,100.0%,0,0,0.7%,100.0%,6,906,902,0,94.7%,0.8%,1.8%,1.3%,0.2%,1.2%
STARPOINT MIDDLE SCHOOL,STARPOINT,NIAGARA,720,100.0%,100.0%,0,0,0.6%,100.0%,4,720,716,0,93.2%,1.0%,2.1%,0.8%,0.3%,2.6%
STILLWATER ELEMENTARY SCHOOL,STILLWATER,SARATOGA,489,100.0%,100.0%,0,0,0.9%,100.0%,4,466,462,0,93.4%,2.5%,2.7%,1.2%,0.2%,0.0%
STILLWATER MIDDLE SCHOOL HIGH SCHOOL,STILLWATER,SARATOGA,571,100.0%,100.0%,0,0,1.8%,100.0%,10,571,557,0,93.9%,1.1%,2.8%,1.1%,0.0%,1.2%
STOCKBRIDGE VALLEY CENTRAL SCHOOL,STOCKBRIDGE VALLEY,MADISON,434,100.0%,96.5%,0,15,5.9%,96.5%,25,419,399,0,93.5%,0.0%,2.1%,0.0%,1.3%,3.1%
STOREFRONT ACADEMY CHARTER SCHOOL,STOREFRONT ACADEMY CHARTER S,BRONX,325,75.1%,100.0%,108,0,7.6%,59.7%,33,200,292,135,0.9%,28.8%,66.8%,0.0%,3.0%,0.6%
STOREFRONT ACADEMY HARLEM CHARTER,STOREFRONT ACADEMY HARLEM CH,NEW YORK,64,87.7%,100.0%,9,0,5.5%,81.3%,4,52,60,12,1.5%,71.2%,22.7%,0.0%,3.0%,1.5%
SUCCESS ACADEMY CHARTER-BED STUY 2,SUCCESS ACA-BED STUY 2,KINGS,286,100.0%,100.0%,0,0,4.2%,100.0%,12,286,274,0,2.1%,60.1%,27.4%,3.1%,2.4%,4.9%
SUCCESS ACADEMY CS-COBBLE HILL,SUCCESS ACA-COBBLE HILL,KINGS,439,100.0%,100.0%,0,0,0.7%,100.0%,3,439,436,0,23.5%,29.2%,29.2%,11.5%,1.4%,5.2%
SUCCESS ACAD CHARTER SCH-BRONX 3,SUCCESS ACAD CHARTER SCH-BR 3,BRONX,1161,100.0%,100.0%,0,0,0.7%,100.0%,7,1161,936,0,0.7%,51.7%,44.6%,1.4%,0.8%,0.7%
SUCCESS ACAD CHARTER SCH-CROWN HGTS,SUCCESS ACAD-CROWN HEIGHTS,KINGS,844,100.0%,100.0%,0,0,0.1%,100.0%,1,844,843,0,1.4%,84.4%,10.7%,0.7%,1.5%,1.3%
SUCCESS ACADEMY CHARTER-HARLEM 6,SUCCESS ACADEMY - HARLEM 6,NEW YORK,369,100.0%,100.0%,0,0,0.8%,100.0%,3,369,366,0,2.7%,53.1%,41.1%,1.3%,0.8%,1.1%
SUCCESS ACADEMY CHARTER-BRONX 2,SUCCESS ACADEMY -BRONX 2,BRONX,1004,100.0%,100.0%,0,0,0.4%,100.0%,4,1004,1000,0,1.0%,59.4%,37.6%,1.1%,0.6%,0.4%
