School Name,District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
JAMESVILLE-DEWITT MIDDLE SCHOOL,JAMESVILLE-DEWITT,ONONDAGA,828,100.0%,100.0%,0,0,1.2%,62.2%,10,515,804,313,71.4%,8.7%,3.5%,8.6%,0.5%,7.2%
MOSES DEWITT ELEMENTARY SCHOOL,JAMESVILLE-DEWITT,ONONDAGA,242,100.0%,100.0%,0,0,1.2%,38.0%,3,92,239,150,72.2%,7.8%,6.5%,3.7%,0.0%,9.8%
TECUMSEH ELEMENTARY SCHOOL,JAMESVILLE-DEWITT,ONONDAGA,320,100.0%,100.0%,0,0,0.6%,37.5%,2,120,313,200,68.8%,6.8%,3.9%,15.1%,0.0%,5.5%
JASPER-TROUPSBURG ELEMENTARY SCHOOL,JASPER-TRPSBRG,STEUBEN,196,93.9%,100.0%,12,0,0.0%,100.0%,0,196,184,0,98.4%,0.0%,0.0%,0.0%,1.0%,0.5%
JASPER-TROUPSBURG JUNIOR-SENIOR HS,JASPER-TRPSBRG,STEUBEN,181,87.8%,100.0%,22,0,0.0%,87.8%,0,159,159,22,98.9%,0.0%,0.0%,0.6%,0.6%,0.0%
SULLIVAN WEST ELEMENTARY SCHOOL,JEFF YOUNGSVILLE,SULLIVAN,565,92.1%,28.5%,40,431,3.0%,17.6%,15,106,450,66,84.1%,1.2%,11.3%,0.2%,0.0%,3.2%
SULLIVAN WEST HIGH SCHOOL,JEFF YOUNGSVILLE,SULLIVAN,457,92.4%,42.2%,38,279,2.4%,11.4%,12,55,452,149,84.5%,0.2%,8.8%,1.5%,0.4%,4.5%
JEFFERSON CENTRAL SCHOOL,JEFFERSON,SCHOHARIE,193,78.5%,63.4%,42,71,0.0%,28.4%,0,55,153,68,95.5%,0.0%,1.7%,0.0%,0.0%,2.8%
CANTIAGUE ELEMENTARY SCHOOL,JERICHO,NASSAU,382,100.0%,100.0%,0,0,0.0%,100.0%,0,382,382,0,20.4%,3.7%,5.2%,68.3%,0.8%,1.6%
GEORGE A JACKSON SCHOOL,JERICHO,NASSAU,486,99.6%,100.0%,2,0,0.0%,100.0%,0,486,484,0,8.9%,1.6%,3.3%,84.5%,0.2%,1.4%
JERICHO MIDDLE SCHOOL,JERICHO,NASSAU,788,100.0%,100.0%,0,0,1.4%,100.0%,11,788,777,0,28.0%,2.5%,2.4%,65.8%,0.0%,1.3%
