District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
GARDEN CITY,NASSAU,3916,100.0%,77.7%,0,873,0.0%,52.1%,0,2039,3916,1004,82.5%,0.8%,6.5%,8.0%,0.0%,2.1%
GATES CHILI,MONROE,3891,97.0%,100.0%,92,0,1.1%,99.9%,33,3888,2944,3,54.3%,17.7%,14.0%,5.4%,0.3%,8.3%
WEST ISLIP,SUFFOLK,3885,100.0%,98.9%,0,45,0.0%,95.8%,0,3754,3825,118,82.8%,0.4%,12.2%,2.0%,0.1%,2.6%
DEER PARK,SUFFOLK,3879,97.3%,100.0%,105,0,0.0%,77.1%,0,3021,3774,895,34.1%,20.0%,27.4%,15.0%,0.2%,3.3%
WATERTOWN,JEFFERSON,3862,100.0%,100.0%,0,0,1.7%,95.4%,66,3691,3876,176,69.3%,8.3%,10.1%,1.8%,0.4%,10.1%
MAHOPAC,PUTNAM,3850,100.0%,100.0%,0,0,0.2%,100.0%,9,3850,3841,0,70.2%,2.2%,23.5%,2.0%,0.0%,2.0%
LOCKPORT,NIAGARA,3833,100.0%,100.0%,0,0,2.9%,100.0%,108,3833,3605,0,70.2%,10.1%,9.6%,0.6%,0.4%,9.0%
CARMEL,PUTNAM,3812,100.0%,100.0%,0,0,1.9%,45.0%,72,1719,3732,2099,59.8%,2.8%,31.4%,2.3%,0.2%,3.5%
HORSEHEADS,CHEMUNG,3810,100.0%,100.0%,0,0,1.5%,42.9%,59,1634,3751,2175,86.5%,1.2%,3.8%,3.5%,0.1%,4.9%
BEDFORD,WESTCHESTER,3777,100.0%,92.5%,0,286,2.9%,90.6%,109,3476,3668,75,51.0%,2.7%,39.1%,3.7%,0.0%,3.6%
WASHINGTONVILLE,ORANGE,3713,100.0%,100.0%,0,0,1.1%,64.6%,42,2400,3655,1313,56.9%,9.5%,28.4%,2.3%,0.3%,2.7%
CHURCHVILLE CHILI,MONROE,3692,100.0%,100.0%,0,0,1.4%,100.0%,52,3692,3640,0,76.4%,8.0%,7.7%,2.2%,0.2%,5.6%
